
이름: 김광현(Kwang-Hyun Kim),복귀년도: 2022
전/후반기,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
전/후반기,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
전반기,16,16,1,0,4,5,0,0,86.0,42,36,0.00,385,318,82,14,0,3,41,0,9,52,1494,1.43,0.258,0.355,0.685,3.77,,,
후반기,7,7,0,0,1,5,0,0,35.0,34,32,0.00,167,150,52,13,1,8,11,0,2,16,635,1.80,0.347,0.394,1.001,8.23,,,
월,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
4월,4,4,0,0,1,1,0,0,21.2,10,7,0.00,92,79,17,2,0,1,11,0,0,17,367,1.29,0.215,0.311,0.589,2.91,,,
5월,5,5,0,0,1,3,0,0,26.2,19,16,0.00,127,105,35,6,0,1,10,0,4,13,474,1.69,0.333,0.408,0.827,5.40,,,
6월,4,4,0,0,1,1,0,0,21.2,10,10,0.00,98,75,17,4,0,0,14,0,3,9,374,1.43,0.227,0.358,0.638,4.15,,,
7월,3,3,1,0,1,0,0,0,16.0,3,3,0.00,68,59,13,2,0,1,6,0,2,13,279,1.19,0.220,0.313,0.618,1.69,,,
8월,5,5,0,0,1,3,0,0,26.1,22,22,0.00,120,109,37,10,0,5,8,0,1,11,465,1.71,0.339,0.390,0.959,7.52,,,
9월,1,1,0,0,0,1,0,0,3.0,7,7,0.00,21,17,9,0,1,2,2,0,1,1,78,3.67,0.529,0.571,1.571,21.00,,,
10월,1,1,0,0,0,1,0,0,5.2,5,3,0.00,26,24,6,3,0,1,1,0,0,4,92,1.24,0.250,0.269,0.769,4.76,,,
요일,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
화,4,4,0,0,0,3,0,0,17.2,21,18,0.00,94,75,27,5,0,2,12,0,4,10,375,2.21,0.360,0.467,0.974,9.17,,,
수,4,4,0,0,1,3,0,0,24.0,13,9,0.00,103,94,26,9,0,2,4,0,1,15,368,1.25,0.277,0.310,0.746,3.38,,,
목,4,4,0,0,2,0,0,0,23.1,5,5,0.00,98,81,16,3,0,0,13,0,1,17,393,1.24,0.198,0.313,0.548,1.93,,,
금,3,3,1,0,0,0,0,0,14.0,11,10,0.00,65,54,16,4,0,1,7,0,1,8,250,1.64,0.296,0.381,0.807,6.43,,,
토,3,3,0,0,1,2,0,0,18.1,8,8,0.00,81,68,19,3,0,1,7,0,2,10,292,1.42,0.279,0.359,0.727,3.93,,,
일,5,5,0,0,1,2,0,0,23.2,18,18,0.00,111,96,30,3,1,5,9,0,2,8,451,1.65,0.313,0.380,0.901,6.85,,,
시간,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
14:00,2,2,0,0,0,1,0,0,11.0,4,4,0.00,49,42,11,0,0,0,5,0,0,6,187,1.45,0.262,0.340,0.602,3.27,,,
